run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,
General-70-20210519-11:43:23-23483,runattr,,,experiment,General,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,inifile,omnetpp.ini,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,iterationvars,,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,iterationvarsf,,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,measurement,,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,network,EarthquakeDetector,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,processid,23483,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,repetition,70,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,replication,#70,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,resultdir,results,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,runnumber,70,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,seedset,70,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,configname,General,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,datetime,20210519-11:43:22,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,experiment,General,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,inifile,omnetpp.ini,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,iterationvars,,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,iterationvarsf,,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,measurement,,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,network,EarthquakeDetector,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,processid,23478,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,repetition,69,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,replication,#69,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,resultdir,results,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,runnumber,69,,,,,,,
General-69-20210519-11:43:22-23478,runattr,,,seedset,69,,,,,,,
General-72-20210519-11:43:24-23493,runattr,,,configname,General,,,,,,,
General-72-20210519-11:43:24-23493,runattr,,,datetime,20210519-11:43:24,,,,,,,
General-72-20210519-11:43:24-23493,runattr,,,experiment,General,,,,,,,
General-72-20210519-11:43:24-23493,runattr,,,inifile,omnetpp.ini,,,,,,,
General-72-20210519-11:43:24-23493,runattr,,,iterationvars,,,,,,,,
General-72-20210519-11:43:24-23493,runattr,,,iterationvarsf,,,,,,,,
