run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,,
General-9-20210518-20:51:35-20860,runattr,,,network,EarthquakeDetector,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,processid,20860,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,repetition,9,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,replication,#9,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,resultdir,results,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,runnumber,9,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,seedset,9,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,configname,General,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,datetime,20210518-20:52:01,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,experiment,General,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,iterationvars,,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,iterationvarsf,,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,measurement,,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,network,EarthquakeDetector,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,processid,21066,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,repetition,15,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,replication,#15,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,resultdir,results,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,runnumber,15,,,,,,,,
General-15-20210518-20:52:01-21066,runattr,,,seedset,15,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,configname,General,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,datetime,20210518-20:51:57,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,experiment,General,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,iterationvars,,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,iterationvarsf,,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,measurement,,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,network,EarthquakeDetector,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,processid,21030,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,repetition,14,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,replication,#14,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,resultdir,results,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,runnumber,14,,,,,,,,
General-14-20210518-20:51:57-21030,runattr,,,seedset,14,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,configname,General,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,datetime,20210518-20:50:38,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,experiment,General,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,iterationvars,,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,iterationvarsf,,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,measurement,,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,network,EarthquakeDetector,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,processid,20571,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,repetition,0,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,replication,#0,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,resultdir,results,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,runnumber,0,,,,,,,,
General-0-20210518-20:50:38-20571,runattr,,,seedset,0,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,configname,General,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,datetime,20210518-20:51:44,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,experiment,General,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,iterationvars,,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,iterationvarsf,,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,measurement,,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,network,EarthquakeDetector,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,processid,20924,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,repetition,11,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,replication,#11,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,resultdir,results,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,runnumber,11,,,,,,,,
General-11-20210518-20:51:44-20924,runattr,,,seedset,11,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,configname,General,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,datetime,20210518-20:50:38,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,experiment,General,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,iterationvars,,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,iterationvarsf,,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,measurement,,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,network,EarthquakeDetector,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,processid,20570,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,repetition,1,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,replication,#1,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,resultdir,results,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,runnumber,1,,,,,,,,
General-1-20210518-20:50:38-20570,runattr,,,seedset,1,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,configname,General,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,datetime,20210518-20:52:25,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,experiment,General,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,iterationvars,,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,iterationvarsf,,,,,,,,,
